Heating,Lighting,Cooling,Plug,Ventilation,Other,Consumption,Location,Number of Room,Occupants,Temperature,Humidity,Precipitation,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Dayindex
4.75,5.3125,57.5,8.75,3.5,0.0,79.8125,0,0.0,0.0,14.3,80.17,0.0,40.0,36.4,0.0,0.0,0.0,0.607
4.75,4.5625,49.125,7.8125,7.875,0.0,74.125,0,0.0,0.0,13.0,84.55,0.0,30.0,36.4,0.0,0.0,0.0,0.607
5.25,5.25,52.5,9.0,5.125,0.0,77.125,0,0.0,0.0,13.0,82.95,0.0,30.0,36.4,0.0,0.0,0.0,0.607
5.0,4.5625,51.9375,9.0,8.375,0.0,78.875,0,0.0,0.0,12.6,83.52,0.0,30.0,36.4,0.0,0.0,0.0,0.607
5.0,5.4375,45.9375,7.0,19.75,0.0,83.125,0,0.0,0.0,11.8,86.89,0.0,30.0,32.8,0.0,0.0,0.0,0.607
5.75,7.3125,52.1875,10.0625,46.375,0.0,121.6875,0,0.0,0.0,11.1,89.4,0.0,30.0,32.8,0.3,0.0,0.0,0.607
6.5,10.75,47.625,9.25,62.875,0.0,137.0,0,0.0,0.0,11.7,90.04,0.0,50.0,38.1,5.0,0.0,0.0,0.607
8.0,19.375,43.5625,11.75,74.625,0.0,157.3125,"G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb",2.0,160.0,15.2,66.93,0.0,60.0,35.3,45.0,0.2,0.0,0.607
7.75,23.125,43.8125,13.4375,61.75,0.0,149.875,"G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb, G-4D006",3.0,194.0,17.2,59.32,0.0,90.0,35.3,243.0,0.9,2.0,0.607
8.0,30.1875,54.75,14.125,95.125,0.0,202.1875,"G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb, G-4D006",3.0,194.0,14.5,74.93,0.0,50.5,14.5,239.0,0.9,2.0,0.607
8.25,32.6875,52.5625,15.25,73.0,0.0,181.75,"G-1B016-Projet-Vie étudiante, G-4D006",2.0,44.0,21.2,50.75,0.0,90.0,35.3,640.0,2.3,6.0,0.607
8.75,28.75,68.375,15.125,72.0,0.0,193.0,G-1B016-Projet-Vie étudiante,1.0,10.0,24.0,43.42,0.0,50.0,35.3,499.0,1.8,5.0,0.607
7.75,20.375,73.5625,13.4375,58.375,0.0,173.5,"G-1B016-Projet-Vie étudiante, G-2C006",2.0,90.0,26.1,34.34,0.0,30.0,27.0,853.0,3.1,9.0,0.607
7.25,21.0625,148.125,12.3125,37.5,0.0,226.25,"G-1B016-Projet-Vie étudiante, G-2C006",2.0,90.0,26.7,34.67,0.0,10.0,31.1,878.0,3.2,9.0,0.607
6.25,23.0625,259.8125,13.5625,102.875,0.0,405.5625,G-1B016-Projet-Vie étudiante,1.0,10.0,28.4,32.38,0.0,30.0,21.2,850.0,3.1,9.0,0.607
6.0,22.4375,348.125,11.75,57.875,0.0,446.1875,G-1B016-Projet-Vie étudiante,1.0,10.0,29.6,32.65,0.0,30.0,20.4,774.0,2.8,8.0,0.607
5.75,18.9375,334.1875,12.4375,60.375,0.0,431.6875,G-1B016-Projet-Vie étudiante,1.0,10.0,30.1,31.96,0.0,30.0,20.0,649.0,2.3,6.0,0.607
5.75,17.25,362.6875,9.8125,64.0,0.0,459.5,0,0.0,0.0,30.4,30.44,0.0,25.7,18.6,479.0,1.7,5.0,0.607
5.0,12.8125,386.5625,10.5625,59.5,0.0,474.4375,0,0.0,0.0,30.4,36.25,0.0,80.0,22.0,22.0,0.1,0.0,0.607
5.5,11.375,217.8125,9.5625,41.875,0.0,286.125,0,0.0,0.0,27.5,40.56,0.0,87.0,29.5,17.0,0.1,0.0,0.607
